scenario,run,algorithm,fe,objective
S2,0,Standard-ABC,59,0.5822999114977766
S2,0,Standard-ABC,64,0.5822999114977766
S2,0,Standard-ABC,69,0.5822999114977766
S2,0,Standard-ABC,74,0.5822999114977766
S2,0,Standard-ABC,79,0.5822999114977766
S2,0,Standard-ABC,84,0.581638456278107
S2,0,Standard-ABC,89,0.581638456278107
S2,0,Standard-ABC,94,0.581638456278107
S2,0,Standard-ABC,99,0.581638456278107
S2,0,Standard-ABC,104,0.581638456278107
S2,0,Standard-ABC,109,0.581638456278107
S2,0,Standard-ABC,114,0.5774917465424844
S2,0,Standard-ABC,119,0.5774917465424844
S2,0,Standard-ABC,124,0.5774917465424844
S2,0,Standard-ABC,129,0.5774917465424844
S2,0,Standard-ABC,134,0.5552615206286657
S2,0,Standard-ABC,139,0.5552615206286657
S2,0,Standard-ABC,144,0.5552615206286657
S2,0,Standard-ABC,149,0.5552615206286657
S2,0,Standard-ABC,154,0.5552615206286657
S2,0,Standard-ABC,159,0.5552615206286657
S2,0,Standard-ABC,164,0.5552615206286657
S2,0,Standard-ABC,169,0.5552615206286657
S2,0,Standard-ABC,174,0.5552615206286657
S2,0,Standard-ABC,179,0.5552615206286657
S2,0,Standard-ABC,184,0.5552615206286657
S2,0,Standard-ABC,189,0.5552615206286657
S2,0,Standard-ABC,194,0.5552615206286657
S2,0,Standard-ABC,199,0.5552615206286657
S2,0,Standard-ABC,204,0.5552615206286657
S2,0,Standard-ABC,209,0.5552615206286657
S2,0,Standard-ABC,214,0.5552615206286657
S2,0,Standard-ABC,219,0.5521213203163252
S2,0,Standard-ABC,224,0.5396812764442737
S2,0,Standard-ABC,229,0.5396812764442737
S2,0,Standard-ABC,234,0.5396812764442737
S2,0,Standard-ABC,239,0.5396812764442737
S2,0,Standard-ABC,244,0.5396812764442737
S2,0,Standard-ABC,249,0.5396812764442737
S2,0,Standard-ABC,254,0.5396812764442737
S2,0,Standard-ABC,259,0.5396812764442737
S2,0,Standard-ABC,264,0.5396812764442737
S2,0,Standard-ABC,269,0.5396812764442737
S2,0,Standard-ABC,274,0.5396812764442737
S2,0,Standard-ABC,279,0.5396812764442737
S2,0,Standard-ABC,284,0.5396812764442737
S2,0,Standard-ABC,289,0.5396812764442737
S2,0,Standard-ABC,294,0.5202229472727724
S2,0,Standard-ABC,299,0.5202229472727724
S2,0,Standard-ABC,304,0.5096443226323761
S2,0,Standard-ABC,309,0.5096443226323761
S2,0,Standard-ABC,314,0.5096443226323761
S2,0,Standard-ABC,319,0.5065070819071451
S2,0,Standard-ABC,324,0.5065070819071451
S2,0,Standard-ABC,329,0.5065070819071451
S2,0,Standard-ABC,334,0.5065070819071451
S2,0,Standard-ABC,339,0.5065070819071451
S2,0,Standard-ABC,344,0.5065070819071451
S2,0,Standard-ABC,349,0.5065070819071451
S2,0,Standard-ABC,354,0.5065070819071451
S2,0,Standard-ABC,359,0.5065070819071451
S2,0,Standard-ABC,364,0.5065070819071451
S2,0,Standard-ABC,369,0.5065070819071451
S2,0,Standard-ABC,374,0.5065070819071451
S2,0,Standard-ABC,379,0.5065070819071451
S2,0,Standard-ABC,384,0.5065070819071451
S2,0,Standard-ABC,389,0.5065070819071451
S2,0,Standard-ABC,394,0.5065070819071451
S2,0,Standard-ABC,399,0.5065070819071451
