scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,episode,slot,load_state,active_users,assignment_changes
S6-dynamic,0,Cold-RFOTO,0.3536228117010372,0.8277694537834803,2.5045674617789717,0.09401930017888897,0.8372093023255814,0.16279069767441862,0.13900605398455423,0.9977959895309568,0.0022040104690433317,1.0314112524577153,0.9707706618285966,0.5117275607302217,0.2450295186001184,0.1735206514743332,0.7596899224806202,0.3805862999288365,110,1,0.7593017508237367,0.7455416183692568,0.0022040104690433317,0.18856371368078137,0.029229338171403385,0,0,high,129,0
S6-dynamic,0,Warm-RFOTO,0.3532542929247965,0.8265735297231181,2.527302427443364,0.09467336508770091,0.8294573643410853,0.17054263565891473,0.13619530817278622,0.9976487784617049,0.0023512215382951547,1.03194908873548,0.971453394699575,0.5117275607302217,0.2450295186001184,0.17142187853716734,0.7674418604651163,0.3708700999850407,110,1,0.7587758379624008,0.7471336231842108,0.0023512215382951547,0.18695221941536772,0.028546605300424965,0,0,high,129,0
S6-dynamic,0,Standard-ABC,0.36323918006131506,0.8383242615353611,2.8693389384170476,0.09121259218060493,0.8294573643410853,0.17054263565891473,0.1557486985039481,0.9982214139969477,0.0017785860030524055,1.0296429486795213,0.966811136575377,0.47610377672274656,0.2450295186001184,0.18527864579884423,0.7441860465116279,0.3487264000577852,110,1,0.7861015026075107,0.7138696845472761,0.0017785860030524055,0.2171972200521678,0.033188863424623016,0,0,high,129,0
S6-dynamic,0,Delay-Greedy,0.40522716344409504,0.9198290151718926,2.8693389384170476,0.09970530809745014,0.7131782945736435,0.2868217054263566,0.1959786591347824,0.9974757944141794,0.002524205585820452,1.0311117300638244,0.9612370532059327,0.47610377672274656,0.2450295186001184,0.2008136087893616,0.875968992248062,0.007709500030614436,1,1,0.8395187436611576,0.8581266559682713,0.002524205585820452,0.24123678398916326,0.03876294679406733,0,0,high,129,0
S6-dynamic,0,Max-SINR,0.381533346453203,0.8384429451341011,2.696077373355095,0.10382187697078259,0.7984496124031008,0.20155038759689922,0.14471243904754494,0.9974016975943892,0.00259830240561077,1.02507475646286,0.9699234997076817,0.5114429108539721,0.2450295186001184,0.17609414217506617,0.8992248062015504,0.0017732999986037612,1,1,0.8238008743139499,0.7840943677073332,0.00259830240561077,0.21175134877458246,0.030076500292318342,0,0,high,129,0
S6-dynamic,1,Cold-RFOTO,0.3432862572027873,0.8680149803832675,2.607014293452687,0.09534928085787846,0.8,0.2,0.19232563998011773,0.9979463221701061,0.0020536778298939594,1.027912806923408,0.9608912030319584,0.4008451526044396,0.19515856913897658,0.201743764148032,0.7538461538461538,0.3628652999177575,110,1,0.775004314570614,0.6553783695313922,0.0020536778298939594,0.17980547207695993,0.03910879696804159,0,1,high,130,0
S6-dynamic,1,Warm-RFOTO,0.3432862572027873,0.8680149803832675,2.607014293452687,0.09534928085787846,0.8,0.2,0.19232563998011773,0.9979463221701061,0.0020536778298939594,1.027912806923408,0.9608912030319584,0.4008451526044396,0.19515856913897658,0.201743764148032,0.7538461538461538,0.3836814999813214,110,1,0.775004314570614,0.6553783695313922,0.0020536778298939594,0.17980547207695993,0.03910879696804159,0,1,high,130,48
S6-dynamic,1,Standard-ABC,0.34263532047111295,0.8680727134587003,2.607014293452687,0.09430716067260246,0.8,0.2,0.1971755216087333,0.9979456975721991,0.0020543024278009163,1.0277263858425485,0.9595713083807388,0.4008451526044396,0.19515856913897658,0.20526089412171597,0.7461538461538462,0.32343690004199743,110,1,0.7761986222472013,0.6427474198632703,0.0020543024278009163,0.18279355080549087,0.040428691619261214,0,1,high,130,0
S6-dynamic,1,Delay-Greedy,0.42572849389332307,0.9759243887088209,2.992745407160317,0.12139180144188504,0.7230769230769231,0.27692307692307694,0.26233660878378695,0.9970464183185446,0.0029535816814555238,1.034939981093679,0.9472564737822115,0.33750810312366064,0.19515856913897658,0.23596673847952374,0.8384615384615385,0.0077034999849274755,1,1,0.8524519128505947,0.9891881490898253,0.0029535816814555238,0.22294019219296468,0.05274352621778855,0,1,high,130,0
S6-dynamic,1,Max-SINR,0.3819671974590643,0.9316772778170964,2.683852436113096,0.1021012197972079,0.7076923076923077,0.2923076923076923,0.2348290777090547,0.9973557694945439,0.0026442305054560074,1.0293972373643938,0.9532529175053956,0.36180219911342026,0.19515856913897658,0.22144872502298774,0.823076923076923,0.0022909999825060368,1,1,0.8727945618750508,0.68255923349241,0.0026442305054560074,0.21537505396463308,0.04674708249460435,0,1,high,130,0
