scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,w_fairness
S3,0,RFOTO-ABC,0.36109930002678986,0.8598735513288868,1.7276199018093519,0.10118306225247659,0.75,0.25,0.10858521042679808,0.9976283350341123,0.002371664965887814,1.0091370449362438,0.9771899501980388,0.6099245255130716,0.350255312402917,0.1527825030399647,0.7,0.6382556000025943,350,1,0.6991503515909965,0.7301455599215478,0.002371664965887814,0.08860260057445013,0.02281004980196122,0.0
S3,1,RFOTO-ABC,0.3682729092798967,0.7339400262628424,1.7723060264939883,0.08353213099072343,0.79,0.21,0.1288979183014429,0.9982698646962557,0.001730135303744297,1.014914332041606,0.9727490828525008,0.5726127416679643,0.27116629861750025,0.1673748291310595,0.66,0.6479683000361547,350,1,0.6693649067625072,0.8312533430668217,0.001730135303744297,0.08262687070605312,0.027250917147499165,0.0
S3,2,RFOTO-ABC,0.37635578715742124,0.7872108484542756,1.712487188389033,0.10529269266820837,0.8,0.2,0.0958635061712439,0.9987334840019912,0.0012665159980089057,1.0136878758657777,0.9807638589199679,0.5812838300765681,0.25625539637920697,0.1400479480148219,0.71,0.7038599998923019,350,1,0.7272534201164454,0.7544879849581559,0.0012665159980089057,0.09865025244548635,0.019236141080032132,0.0
S3,3,RFOTO-ABC,0.4068692313224316,0.7974987309486633,1.6133490641541732,0.10040577134386566,0.73,0.27,0.13339285401165746,0.998264122401291,0.0017358775987089937,1.0153407846273688,0.9729975905668892,0.546684370645481,0.28157030672755223,0.16658863767563933,0.65,0.6692241000710055,350,1,0.773251109031183,0.8239883587518365,0.0017358775987089937,0.11432256013501549,0.02700240943311083,0.0
S3,4,RFOTO-ABC,0.43235000851271993,0.9069321929846673,2.076594617052895,0.1173147108307587,0.64,0.36,0.14821257154672515,0.9990288629590894,0.0009711370409105957,1.0128103614678454,0.9718531052239818,0.5003008918486981,0.3096759908378046,0.17018251263988976,0.71,0.6480194999603555,350,1,0.7797166180102189,0.88538853387565,0.0009711370409105957,0.1582633809749105,0.028146894776018172,0.0
S3,5,RFOTO-ABC,0.4161362834231474,0.9032636565204061,2.217351074428767,0.10015269756530369,0.68,0.32,0.15864658065283013,0.9997304032948928,0.0002695967051071779,1.013244715348129,0.9699426223438027,0.5943150543136928,0.25718074820089315,0.17603641763009406,0.75,0.6338467000750825,350,1,0.7594673122460637,0.8925176064623827,0.0002695967051071779,0.11966981015112242,0.030057377656197315,0.0
S3,6,RFOTO-ABC,0.4573832286673542,0.8404837869764734,1.676775791202929,0.11230943689048799,0.77,0.23,0.1272331723159239,0.9992006256153257,0.0007993743846743817,1.0196186856858251,0.9744239760678484,0.6290253461480019,0.3126510259643594,0.16201026564556548,0.71,0.7117034000111744,350,1,0.8807192720206206,0.7832103310684039,0.0007993743846743817,0.20381800729960198,0.025576023932151637,0.0
S3,7,RFOTO-ABC,0.3653862665046342,0.7239821497312051,1.6571833017200421,0.08211883971231676,0.81,0.19,0.10360015770416953,0.9978824037181401,0.0021175962818597736,1.0183764329240854,0.9799466151781688,0.6336143229634928,0.22601591630772194,0.14305157224596884,0.73,0.6828847000142559,350,1,0.6959229561664484,0.7372342593301997,0.0021175962818597736,0.10235571732570048,0.020053384821831166,0.0
S3,8,RFOTO-ABC,0.42079911512784707,0.8501936014263888,1.61663189170319,0.11582708182309996,0.65,0.35,0.12841328527806284,0.9993268853363605,0.0006731146636395502,1.0099356526372896,0.9764347924533755,0.5941506607930378,0.32176546685986185,0.1553509851355579,0.65,0.6833033000584692,350,1,0.7673241180851027,0.9214758640373346,0.0006731146636395502,0.10996886319626505,0.0235652075466245,0.0
S3,9,RFOTO-ABC,0.3410578158953732,0.691405403771287,1.3585862524956762,0.08339093447551199,0.84,0.16,0.07233923119638846,0.9987574359183563,0.0012425640816436656,1.0181015588239872,0.9859826939339279,0.804963241634132,0.2685168018054461,0.11923331866188448,0.71,0.6542382000479847,350,1,0.6374034701127198,0.7458084778663211,0.0012425640816436656,0.07371396594644151,0.0140173060660721,0.0
S3,10,RFOTO-ABC,0.400789073732624,0.7647757944458848,1.4985179507935698,0.08974328969376477,0.82,0.18,0.07908134933832336,0.9983260317801542,0.001673968219845845,1.0123888600708904,0.9843586931652986,0.672217750431407,0.2818226570857298,0.1260549276003969,0.66,0.7727927000960335,350,1,0.7764612255240375,0.789115288899419,0.001673968219845845,0.11141327725135625,0.01564130683470144,0.0
S3,11,RFOTO-ABC,0.4351025326573398,0.8653962240143097,1.7486924958203989,0.11699776457864067,0.73,0.27,0.12883822135961706,0.9986650316577523,0.001334968342247642,1.0211496614333042,0.9733572990521201,0.5159964764191622,0.3332173795481748,0.16544474606061926,0.7,0.7058683999348432,350,1,0.8030505988279559,0.8979395866859795,0.001334968342247642,0.13646628552161355,0.026642700947879905,0.0
S3,12,RFOTO-ABC,0.40748599717298023,0.8935025042200446,2.1467279387115443,0.121723709881877,0.73,0.27,0.13657349720280915,0.9994643467737686,0.0005356532262314273,1.0119484861798151,0.9729974532708966,0.5579982528255305,0.2698189481866128,0.16658907294535485,0.67,0.6953345999354497,350,1,0.7521751947263597,0.8823845275204382,0.0005356532262314273,0.1034179565685253,0.027002546729103405,0.0
S3,13,RFOTO-ABC,0.3510456284188707,0.7919733723060925,1.7875411136636223,0.09673682060515792,0.79,0.21,0.1127613609454043,0.9997820922418417,0.00021790775815830777,1.0117609426421297,0.9769903861926392,0.569791777902405,0.29632685876703146,0.15346506217801523,0.63,0.6168894999427721,350,1,0.6814628409629007,0.7265556933698271,0.00021790775815830777,0.0759845534328371,0.023009613807360774,0.0
S3,14,RFOTO-ABC,0.3406483526606922,0.6699950064259329,1.6379489017544053,0.08521888975705114,0.81,0.19,0.0920106507263096,0.9997614848621886,0.00023851513781132815,1.0073050863004263,0.9816425315125739,0.6538166726591577,0.27290782611704895,0.1367507485631736,0.68,0.693394499947317,350,1,0.6676908089799695,0.6696193555783843,0.00023851513781132815,0.08855116460910437,0.018357468487426143,0.0
S3,0,RFOTO-ABC,0.3441848375155484,0.8598735513288868,1.7276199018093519,0.10118306225247659,0.75,0.25,0.10858521042679808,0.9976283350341123,0.002371664965887814,1.0091370449362438,0.9771899501980388,0.6099245255130716,0.350255312402917,0.1527825030399647,0.7,0.6604315999429673,350,1,0.6991503515909965,0.7301455599215478,0.002371664965887814,0.08860260057445013,0.02281004980196122,0.05
S3,1,RFOTO-ABC,0.35122180967327676,0.7339400262628424,1.7723060264939883,0.08353213099072343,0.79,0.21,0.1288979183014429,0.9982698646962557,0.001730135303744297,1.014914332041606,0.9727490828525008,0.5726127416679643,0.27116629861750025,0.1673748291310595,0.66,0.6461546000791714,350,1,0.6693649067625072,0.8312533430668217,0.001730135303744297,0.08262687070605312,0.027250917147499165,0.05
S3,2,RFOTO-ABC,0.3584998048535518,0.7872108484542756,1.712487188389033,0.10529269266820837,0.8,0.2,0.0958635061712439,0.9987334840019912,0.0012665159980089057,1.0136878758657777,0.9807638589199679,0.5812838300765681,0.25625539637920697,0.1400479480148219,0.71,0.6961890999227762,350,1,0.7272534201164454,0.7544879849581559,0.0012665159980089057,0.09865025244548635,0.019236141080032132,0.05
S3,3,RFOTO-ABC,0.38787589022796554,0.7974987309486633,1.6133490641541732,0.10040577134386566,0.73,0.27,0.13339285401165746,0.998264122401291,0.0017358775987089937,1.0153407846273688,0.9729975905668892,0.546684370645481,0.28157030672755223,0.16658863767563933,0.65,0.6609703999711201,350,1,0.773251109031183,0.8239883587518365,0.0017358775987089937,0.11432256013501549,0.02700240943311083,0.05
S3,4,RFOTO-ABC,0.4121398528258847,0.9069321929846673,2.076594617052895,0.1173147108307587,0.64,0.36,0.14821257154672515,0.9990288629590894,0.0009711370409105957,1.0128103614678454,0.9718531052239818,0.5003008918486981,0.3096759908378046,0.17018251263988976,0.71,0.6326022000284865,350,1,0.7797166180102189,0.88538853387565,0.0009711370409105957,0.1582633809749105,0.028146894776018172,0.05
S3,5,RFOTO-ABC,0.39683233813479996,0.9032636565204061,2.217351074428767,0.10015269756530369,0.68,0.32,0.15864658065283013,0.9997304032948928,0.0002695967051071779,1.013244715348129,0.9699426223438027,0.5943150543136928,0.25718074820089315,0.17603641763009406,0.75,0.6572126999963075,350,1,0.7594673122460637,0.8925176064623827,0.0002695967051071779,0.11966981015112242,0.030057377656197315,0.05
S3,6,RFOTO-ABC,0.43579286843059406,0.8404837869764734,1.676775791202929,0.11230943689048799,0.77,0.23,0.1272331723159239,0.9992006256153257,0.0007993743846743817,1.0196186856858251,0.9744239760678484,0.6290253461480019,0.3126510259643594,0.16201026564556548,0.71,0.7018071000929922,350,1,0.8807192720206206,0.7832103310684039,0.0007993743846743817,0.20381800729960198,0.025576023932151637,0.05
S3,7,RFOTO-ABC,0.34811962242049405,0.7239821497312051,1.6571833017200421,0.08211883971231676,0.81,0.19,0.10360015770416953,0.9978824037181401,0.0021175962818597736,1.0183764329240854,0.9799466151781688,0.6336143229634928,0.22601591630772194,0.14305157224596884,0.73,0.6779526000609621,350,1,0.6959229561664484,0.7372342593301997,0.0021175962818597736,0.10235571732570048,0.020053384821831166,0.05
S3,8,RFOTO-ABC,0.40093741974878583,0.8501936014263888,1.61663189170319,0.11582708182309996,0.65,0.35,0.12841328527806284,0.9993268853363605,0.0006731146636395502,1.0099356526372896,0.9764347924533755,0.5941506607930378,0.32176546685986185,0.1553509851355579,0.65,0.7268983999965712,350,1,0.7673241180851027,0.9214758640373346,0.0006731146636395502,0.10996886319626505,0.0235652075466245,0.05
S3,9,RFOTO-ABC,0.32470579040390807,0.691405403771287,1.3585862524956762,0.08339093447551199,0.84,0.16,0.07233923119638846,0.9987574359183563,0.0012425640816436656,1.0181015588239872,0.9859826939339279,0.804963241634132,0.2685168018054461,0.11923331866188448,0.71,0.6654812999768183,350,1,0.6374034701127198,0.7458084778663211,0.0012425640816436656,0.07371396594644151,0.0140173060660721,0.05
