scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,n_users,n_servers,candidate_limit
S1,0,RFOTO-ABC,0.10175695046475522,0.22301513283351543,0.38807219570728907,0.024010403198241378,1.0,0.0,0.0,0.9963317282459722,0.0036682717540279797,1.0100592638795605,0.999906320234995,0.9749174705123123,0.962284104693653,0.00967928415345554,1.0,0.32623060001060367,320,1,0.24757161726993537,0.2607755988781003,0.0036682717540279797,0.0,9.367976500496145e-05,20,3,4
S1,0,Standard-ABC,0.27266431980020456,0.6486373468882816,1.6315755243138692,0.05738211090026131,0.85,0.15,0.16619959610164786,0.9984280579266777,0.0015719420733223632,1.0318433483716456,0.9700584564560921,0.7743713468137404,0.25456436604351274,0.17568639833712607,0.8,0.2973675000248477,320,1,0.6001568160391204,0.580278619082581,0.0015719420733223632,0.12311081192714655,0.029941543543907878,20,3,4
S1,0,Delay-Greedy,0.1007213377748122,0.22204511674883123,0.42175551167662445,0.02322684410328508,1.0,0.0,0.0,0.9967177340282507,0.003282265971749132,1.0109183731582436,0.999926018991839,0.9777369896600685,0.9664013226467307,0.008601539498983596,1.0,0.0014070000033825636,1,1,0.24652083159485008,0.2561571968701713,0.003282265971749132,0.0,7.398100816102815e-05,20,3,4
S1,1,RFOTO-ABC,0.1891133490525095,0.36447359738784857,0.5404956416875564,0.030174740881011415,0.9,0.1,0.052094025293410486,0.9990443696954957,0.000955630304504268,1.0202081425273652,0.988840374160136,0.7011494933166139,0.6154736469282419,0.10623355666835138,0.85,0.3383397998986766,320,1,0.48655128739863734,0.2944532782861961,0.000955630304504268,0.08576986209216114,0.011159625839863963,20,3,4
S1,1,Standard-ABC,0.3676152002838798,0.7666247909510596,2.385132442504279,0.056537152342513185,0.7,0.3,0.24381422746975798,0.9983970966524008,0.0016029033475990107,1.0164059907094312,0.9485255812880167,0.48178012164623885,0.38974113827257445,0.2329545521662346,0.7,0.33912439993582666,320,1,0.8967567224579056,0.43703073990312563,0.0016029033475990107,0.27931866083046886,0.05147441871198333,20,3,4
S1,1,Delay-Greedy,0.2288821350168377,0.41337350335683964,1.4162477381879706,0.039376987398234656,0.85,0.15,0.07176818364475071,0.9991461468304612,0.0008538531695387319,1.0156279742673862,0.9854847297622127,0.7011494933166139,0.6154736469282419,0.12136336605469678,0.85,0.0015619000187143683,1,1,0.5989188832235787,0.29192568796006085,0.0008538531695387319,0.13206199938943228,0.014515270237787314,20,3,4
S1,2,RFOTO-ABC,0.10521388716006082,0.3569434253510123,0.6440799563141272,0.028378026382057348,1.0,0.0,0.0,0.9980213061606953,0.001978693839304457,1.0202235227274952,0.9999758131888621,0.9926479900908837,0.9780248257463134,0.004918068335337336,1.0,0.335158700007014,320,1,0.2867887899344765,0.22078215257940087,0.001978693839304457,0.0,2.418681113791621e-05,20,3,4
S1,2,Standard-ABC,0.27131818136438457,0.8763833653217137,2.856642037484438,0.14302018306876957,0.8,0.2,0.14208472432702782,0.9972771496002382,0.0027228503997619056,1.0290815149744033,0.9685222626704557,0.53858083854309,0.4586630475251612,0.1802797509888969,0.75,0.29964740003924817,320,1,0.647210591262474,0.4953498097500564,0.0027228503997619056,0.11978732562749432,0.031477737329544286,20,3,4
S1,2,Delay-Greedy,0.13319779096085504,0.4517231777577696,0.9434010986956863,0.06333850854017412,0.95,0.05,0.042117159204379535,0.9978607584504624,0.002139241549537524,1.0172094127244984,0.9897260706632426,0.951176827683382,0.5427870380703494,0.10188512486358943,0.95,0.0015484999166801572,1,1,0.32616951754701023,0.28283263127008323,0.002139241549537524,0.02904631669267554,0.010273929336757415,20,3,4
S1,3,RFOTO-ABC,0.1679306094740327,0.5614981216362569,1.062037040115329,0.07950333483308956,0.95,0.05,0.05991958566839167,0.9967654696351163,0.003234530364883653,1.01861915710682,0.9853193470785093,0.9467585341627643,0.4548779882671804,0.12206303957658639,0.9,0.38591740000993013,320,1,0.37280955087541456,0.423713687118755,0.003234530364883653,0.033288658704662036,0.014680652921490678,20,3,4
S1,3,Standard-ABC,0.32005861658801293,0.9647189402422127,3.6843435056718614,0.19107717742179442,0.65,0.35,0.2266877980146981,0.9971510740422993,0.002848925957700754,1.075078128199477,0.9560352749868816,0.44841781797646707,0.3256745824529138,0.21444465310762406,0.65,0.343766100006178,320,1,0.6960878885418424,0.7032713565232371,0.002848925957700754,0.13352578812223528,0.04396472501311843,20,3,4
