scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,diagnostic,assigned_tasks,active_server_count,assignment_entropy,task_count_cv,bandwidth_util_cv,cpu_util_cv,bandwidth_share_cv,cpu_share_cv,bandwidth_util_mean,cpu_util_mean
S4,0,RFOTO-ABC,0.24192687393957776,0.5657561224686685,1.0487430523357684,0.07455790512261257,0.92,0.08,0.029159967753786282,0.9987491306607299,0.0012508693392701874,1.0238725785237104,0.9937734163558647,0.8538004389328785,0.5118881176218615,0.0791555235429552,0.84,0.36549360000208253,400,1,0.5661167088285477,0.6133858764352165,0.0012508693392701874,0.028822615410736125,0.006226583644135308,resource_skew,84.0,8.0,0.9880271790421887,0.21821789023599236,1.1102230246251565e-16,1.1102230246251565e-16,0.5301727334081117,0.5426414921722711,1.0,1.0
S4,0,RFOTO-ABC-D,0.2329569926932295,0.5087664668974162,0.9624878080842485,0.06971524940087633,0.9,0.1,0.030971982208728006,0.9985509162372146,0.0014490837627853014,1.0254500308363266,0.993481134254299,0.7495086182659453,0.5118881176218615,0.08100395173828287,0.84,0.2506599999978789,400,1,0.5658140262036898,0.5492401415334153,0.0014490837627853014,0.03139927319153009,0.006518865745701041,resource_skew,84.0,8.0,0.9880271790421887,0.21821789023599236,1.7987668849994313e-16,1.1102230246251565e-16,1.1760092227789967e-16,1.4781951904296876e-16,0.9999999999999999,1.0
S4,1,RFOTO-ABC,0.28973489810634645,0.6864707906604731,2.002665420374903,0.08849322008460088,0.85,0.15,0.11273006678833443,0.9988697803814505,0.0011302196185495562,1.0220647918864947,0.977403632183365,0.5810069813701607,0.20701038786274098,0.1520485711931308,0.81,0.39380769999843324,400,1,0.6102037065960622,0.6999026047686197,0.0011302196185495562,0.11433232658333134,0.022596367816634988,resource_skew,81.0,8.0,0.9904276608855725,0.1940275758703915,1.798766884999431e-16,1.1102230246251565e-16,0.7469874451883454,0.7584088858671894,1.0,1.0
S4,1,RFOTO-ABC-D,0.260351714955115,0.5504034900896037,1.668296728028655,0.06939132497405248,0.9,0.1,0.1029673565984814,0.9980070470167555,0.0019929529832444703,1.0259695300093363,0.978966212103507,0.6200290255805544,0.20701038786274098,0.14658005950434938,0.81,0.24458920000324724,400,1,0.5895634418123503,0.5488713676916848,0.0019929529832444703,0.10830596226860724,0.021033787896493017,resource_skew,81.0,8.0,0.9890812813832797,0.20621349491963045,1.8410966031475738e-16,3.925231146709438e-17,1.129374704282369e-16,6.67572021484375e-17,1.0,1.0
S4,2,RFOTO-ABC,0.3590963322204278,0.7915408364103069,1.9910532496993276,0.08924700636120092,0.79,0.21,0.1769911545831558,0.998244473750947,0.0017555262490529533,1.0314331158188963,0.9635382020034028,0.4423596170914899,0.22707671030226634,0.1945290972210045,0.8,0.4087013000025763,400,1,0.7782398931569064,0.6626383854607973,0.0017555262490529533,0.23728090465112567,0.03646179799659721,resource_skew,80.0,8.0,0.9700800411503849,0.3391164991562634,7.850462293418876e-17,1.415262216750919e-16,0.6228972351760936,0.6321000794953445,1.0,1.0
S4,2,RFOTO-ABC-D,0.32493928280111545,0.6782196889265022,1.7481765382857777,0.07814503016389489,0.84,0.16,0.15426855180846785,0.9974019081528711,0.0025980918471288895,1.034889695205979,0.968259070645602,0.47012405915733907,0.22707671030226634,0.1810564630575806,0.81,0.24839360000623856,400,1,0.7273655982277097,0.584039840148172,0.0025980918471288895,0.20084459779750702,0.031740929354397984,resource_skew,81.0,8.0,0.9691631530517124,0.34368915819938406,1.415262216750919e-16,9.614813431917819e-17,7.580699839778931e-17,7.271766662597657e-17,1.0,1.0
S4,3,RFOTO-ABC,0.24565813782537937,0.582199454556801,1.225872795405207,0.07415770874494304,0.86,0.14,0.05190003571592599,0.9991923916954302,0.0008076083045697724,1.0162358360870813,0.9890300142552454,0.6500838716215394,0.5345070075623551,0.10531695546779656,0.84,0.9471825000000536,400,1,0.5449147019425011,0.6459063185743549,0.0008076083045697724,0.042945980123894806,0.010969985744754607,resource_skew,84.0,8.0,0.9916876096025166,0.18442777839082938,9.614813431917819e-17,1.8824747269678055e-16,0.675355568413279,0.7122143716746474,1.0,1.0
S4,3,RFOTO-ABC-D,0.21188899138444647,0.4764284116641144,0.9082041740352657,0.06129082111823539,0.92,0.08,0.03890455312773344,0.9992481431268284,0.000751856873171547,1.0152424083870586,0.9912164539033587,0.6720333461975185,0.5345070075623551,0.09413490553571337,0.86,0.7064309999987017,400,1,0.5172825966312748,0.4947293271542231,0.000751856873171547,0.02756415945745514,0.008783546096641337,resource_skew,86.0,8.0,0.9899724944174727,0.2014012566940555,1.6653345369377348e-16,9.614813431917819e-17,1.0553479807342926e-16,1.1682510375976564e-16,1.0,1.0
S4,4,RFOTO-ABC,0.2612195667423825,0.6316261637791242,1.3616553100264783,0.06675798012278975,0.94,0.06,0.09673699011733027,0.9986018938185052,0.0013981061814948926,1.0170414597577264,0.9801429904552048,0.9215317860041947,0.2493068645183027,0.14233516301702548,0.87,1.0741810999970767,400,1,0.5434627841354934,0.6641796316608796,0.0013981061814948926,0.08987501316543581,0.01985700954479519,resource_skew,87.0,8.0,0.9875799938678366,0.22728413716419757,1.6184142622847344e-16,1.415262216750919e-16,0.5630212325487172,0.5699910310809304,1.0,1.0
S4,4,RFOTO-ABC-D,0.2404455250558848,0.5721946274265178,1.2000486517730566,0.05858038908802966,0.94,0.06,0.10456398475465259,0.9986163109555268,0.0013836890444732786,1.0167429688669654,0.9781672790421592,0.574443004369055,0.2493068645183027,0.14939888854581493,0.87,0.7250426000027801,400,1,0.5375237841524846,0.5246313195987523,0.0013836890444732786,0.09527294050152017,0.021832720957840834,resource_skew,87.0,8.0,0.9875799938678366,0.22728413716419757,1.3597399555105182e-16,1.1775693440128312e-16,7.63241615791531e-17,1.4662742614746095e-16,1.0,1.0
