comparison,p_raw,a12_rfoto_smaller,a12_ci_low,a12_ci_high,p_holm,reject_0_05
RFOTO-ABC vs Standard-ABC,2.7348870910495993e-31,0.9071913580246913,0.870895061728395,0.9381813271604938,1.3674435455247996e-30,1
RFOTO-ABC vs GA,5.334153501685992e-31,0.8079320987654321,0.7560362654320988,0.8554382716049382,1.3674435455247996e-30,1
RFOTO-ABC vs PSO,2.7348870910495993e-31,0.9893827160493827,0.9795925925925926,0.9970987654320987,1.3674435455247996e-30,1
RFOTO-ABC vs DE,2.7348870910495993e-31,0.9999074074074074,0.9996296296296296,1.0,1.3674435455247996e-30,1
RFOTO-ABC vs Delay-Greedy,4.99018046048886e-31,0.6408641975308642,0.5822793209876542,0.6980933641975309,1.3674435455247996e-30,1
