scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,perturbation,budget,episode,slot,load_state,active_users,load_scale,overlap_fraction,assignment_changes
S6-dynamic-budget,0,Cold-RFOTO,0.286028815141496,0.7047551528597996,1.7531774254960057,0.08144955470493373,0.8679245283018868,0.1320754716981132,0.10272192071537084,0.996720544704033,0.0032794552959668844,1.0347085349826863,0.9785310213919618,0.7143197652463044,0.2435332419336358,0.1481215992831221,0.8679245283018868,0.11574060000566533,40,1,0.5803947583690208,0.7625763776310579,0.0032794552959668844,0.09066972421673188,0.021468978608038203,mild,40,0,0,mild,106,1.025063641393528,0.0,0
S6-dynamic-budget,0,Warm-RFOTO,0.286028815141496,0.7047551528597996,1.7531774254960057,0.08144955470493373,0.8679245283018868,0.1320754716981132,0.10272192071537084,0.996720544704033,0.0032794552959668844,1.0347085349826863,0.9785310213919618,0.7143197652463044,0.2435332419336358,0.1481215992831221,0.8679245283018868,0.12588500000128988,40,1,0.5803947583690208,0.7625763776310579,0.0032794552959668844,0.09066972421673188,0.021468978608038203,mild,40,0,0,mild,106,1.025063641393528,0.0,0
S6-dynamic-budget,1,Cold-RFOTO,0.3415311400116357,0.7344560358521507,2.801676603926759,0.08206732215503182,0.8557692307692307,0.14423076923076922,0.19374209459506916,0.9961032832111198,0.003896716788880245,1.0362009831898116,0.9594329962601531,0.42634725121224787,0.2107503996117711,0.2056265272089294,0.8461538461538461,0.10862149999593385,40,1,0.6781762906431033,0.7414337231410161,0.003896716788880245,0.2156304598438175,0.040567003739846896,mild,40,0,1,mild,104,0.9574889044485366,0.8942307692307693,0
S6-dynamic-budget,1,Warm-RFOTO,0.3415311400116357,0.7344560358521507,2.801676603926759,0.08206732215503182,0.8557692307692307,0.14423076923076922,0.19374209459506916,0.9961032832111198,0.003896716788880245,1.0362009831898116,0.9594329962601531,0.42634725121224787,0.2107503996117711,0.2056265272089294,0.8461538461538461,0.10245389999909094,40,1,0.6781762906431033,0.7414337231410161,0.003896716788880245,0.2156304598438175,0.040567003739846896,mild,40,0,1,mild,104,0.9574889044485366,0.8942307692307693,45
S6-dynamic-budget,2,Cold-RFOTO,0.28885632874127576,0.6053960452002972,1.749164191024863,0.08718750916866132,0.8673469387755102,0.1326530612244898,0.10022823437108415,0.9962225270963107,0.003777472903689473,1.0544729277741485,0.9783077237066478,0.6114920787021717,0.3002611448232692,0.1489069000465963,0.8367346938775511,0.11329110000224318,40,1,0.6005930429962334,0.698618371846881,0.003777472903689473,0.11962390476177837,0.02169227629335224,mild,40,0,2,mild,98,0.9228733500923904,0.9285714285714286,0
S6-dynamic-budget,2,Warm-RFOTO,0.28885632874127576,0.6053960452002972,1.749164191024863,0.08718750916866132,0.8673469387755102,0.1326530612244898,0.10022823437108415,0.9962225270963107,0.003777472903689473,1.0544729277741485,0.9783077237066478,0.6114920787021717,0.3002611448232692,0.1489069000465963,0.8367346938775511,0.11342729999887524,40,1,0.6005930429962334,0.698618371846881,0.003777472903689473,0.11962390476177837,0.02169227629335224,mild,40,0,2,mild,98,0.9228733500923904,0.9285714285714286,41
S6-dynamic-budget,3,Cold-RFOTO,0.2665132118470342,0.5185068903312838,1.490992423892542,0.06742527562071256,0.8865979381443299,0.1134020618556701,0.06286117474818896,0.9969927164295428,0.0030072835704571376,1.0445922559169878,0.9861847888912652,0.6720601208837961,0.35427000971178585,0.1183585437413496,0.845360824742268,0.12225369999941904,40,1,0.5394094765406283,0.7278425665970248,0.0030072835704571376,0.0792428773676869,0.013815211108734848,mild,40,0,3,mild,97,0.9701395076242834,0.8865979381443299,0
S6-dynamic-budget,3,Warm-RFOTO,0.2665132118470342,0.5185068903312838,1.490992423892542,0.06742527562071256,0.8865979381443299,0.1134020618556701,0.06286117474818896,0.9969927164295428,0.0030072835704571376,1.0445922559169878,0.9861847888912652,0.6720601208837961,0.35427000971178585,0.1183585437413496,0.845360824742268,0.12852449999627424,40,1,0.5394094765406283,0.7278425665970248,0.0030072835704571376,0.0792428773676869,0.013815211108734848,mild,40,0,3,mild,97,0.9701395076242834,0.8865979381443299,39
S6-dynamic-budget,4,Cold-RFOTO,0.24944152828862334,0.6243308638475159,1.4776325704128246,0.07343758271125853,0.8585858585858586,0.1414141414141414,0.09860631894565151,0.9977581178854295,0.0022418821145705897,1.0197797710630159,0.9796538861993084,0.6960005220942872,0.2588883206861139,0.14411341241788206,0.8282828282828283,0.11774739999964368,40,1,0.5279712003105557,0.6272310059930706,0.0022418821145705897,0.07945513527602403,0.020346113800691623,mild,40,0,4,mild,99,1.0514721095582276,0.8787878787878788,0
S6-dynamic-budget,4,Warm-RFOTO,0.24944152828862334,0.6243308638475159,1.4776325704128246,0.07343758271125853,0.8585858585858586,0.1414141414141414,0.09860631894565151,0.9977581178854295,0.0022418821145705897,1.0197797710630159,0.9796538861993084,0.6960005220942872,0.2588883206861139,0.14411341241788206,0.8282828282828283,0.1206155999971088,40,1,0.5279712003105557,0.6272310059930706,0.0022418821145705897,0.07945513527602403,0.020346113800691623,mild,40,0,4,mild,99,1.0514721095582276,0.8787878787878788,33
