scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss
S4,0,RFOTO-ABC,0.24192687393957776,0.5657561224686685,1.0487430523357684,0.07455790512261257,0.92,0.08,0.029159967753786282,0.9987491306607299,0.0012508693392701874,1.0238725785237104,0.9937734163558647,0.8538004389328785,0.5118881176218615,0.0791555235429552,0.84,0.9325531999347731,400,1,0.5661167088285477,0.6133858764352165,0.0012508693392701874,0.028822615410736125,0.006226583644135308
S4,0,RFOTO-ABC-R,0.24193231490723216,0.5716310526615552,1.038047529624644,0.07484451069276127,0.91,0.09,0.026568154484698837,0.9988053862840538,0.0011946137159462322,1.0233972562301967,0.9942599877037687,0.9124265094037303,0.5118881176218615,0.07598124932937186,0.84,0.8762219999916852,400,1,0.5700878346888498,0.6110166032791632,0.0011946137159462322,0.026631764622085292,0.005740012296231334
S4,0,RFOTO-ABC-F,0.2838070229419057,0.5648841151873135,1.038047529624644,0.07457505764950817,0.91,0.09,0.024339544956446454,0.9985252206852101,0.0014747793147898858,1.0246212963583214,0.9950371822519429,0.900668923681328,0.5118881176218615,0.07062273111198279,0.84,0.9433247999986634,400,1,0.5667577634234026,0.6193556291099188,0.0014747793147898858,0.025392913661293523,0.004962817748057069
S4,0,RFOTO-ABC-D,0.2329569926932295,0.5087664668974162,0.9624878080842485,0.06971524940087633,0.9,0.1,0.030971982208728006,0.9985509162372146,0.0014490837627853014,1.0254500308363266,0.993481134254299,0.7495086182659453,0.5118881176218615,0.08100395173828287,0.84,0.663208800018765,400,1,0.5658140262036898,0.5492401415334153,0.0014490837627853014,0.03139927319153009,0.006518865745701041
S4,0,RFOTO-ABC-G,0.5708701875294343,1.2678188363018368,3.829640374781706,0.16204287041112014,0.48,0.52,0.4647169745477527,0.9984129186523396,0.0015870813476603662,1.0519180287694916,0.9119724580343523,0.3324942529051178,0.24601962180554657,0.3106836696433962,0.32,1.105235799914226,400,1,1.251127170323543,0.8878526797386863,0.0015870813476603662,0.4455557816934659,0.08802754196564766
S4,0,RFOTO-ABC-S,0.24192687393957776,0.5657561224686685,1.0487430523357684,0.07455790512261257,0.92,0.08,0.029159967753786282,0.9987491306607299,0.0012508693392701874,1.0238725785237104,0.9937734163558647,0.8538004389328785,0.5118881176218615,0.0791555235429552,0.84,0.9384713999461383,400,1,0.5661167088285477,0.6133858764352165,0.0012508693392701874,0.028822615410736125,0.006226583644135308
S4,0,RFOTO-ABC-RF,0.2842798055128287,0.5686623242486701,1.038047529624644,0.07447323545960477,0.91,0.09,0.026485964820994946,0.9987676784254371,0.0012323215745627548,1.0235452404040972,0.9942610972126363,0.9115581236472347,0.5118881176218615,0.07597386323160588,0.84,0.8264144000131637,400,1,0.568653683975156,0.6172107305810886,0.0012323215745627548,0.026585359160158386,0.0057389027873636644
S4,0,RFOTO-ABC-DG,0.4703692366917822,1.007579032587504,2.5034093398463977,0.1468366207635569,0.59,0.41,0.35513694298523985,0.9958030715588655,0.00419692844113464,1.0868072668481545,0.9287150591961976,0.3999186258076947,0.27406447816580054,0.2770496799417796,0.45,0.7294652999844402,400,1,1.016801509681747,0.8389514834501433,0.00419692844113464,0.31517603978010644,0.07128494080380243
S4,1,RFOTO-ABC,0.28973489810634645,0.6864707906604731,2.002665420374903,0.08849322008460088,0.85,0.15,0.11273006678833443,0.9988697803814505,0.0011302196185495562,1.0220647918864947,0.977403632183365,0.5810069813701607,0.20701038786274098,0.1520485711931308,0.81,1.0118614000966772,400,1,0.6102037065960622,0.6999026047686197,0.0011302196185495562,0.11433232658333134,0.022596367816634988
S4,1,RFOTO-ABC-R,0.2888528276819749,0.6921721160421296,2.030618755586194,0.08419545090032261,0.88,0.12,0.1173083792177987,0.9993328881953996,0.0006671118046004365,1.0178125448847144,0.9757359655514098,0.5598203223512073,0.20701038786274098,0.1576940656585869,0.79,0.987350600073114,400,1,0.6114934227661254,0.6861122208033144,0.0006671118046004365,0.11715844536695125,0.024264034448590155
