scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,parameter,value
S4,5,RFOTO-ABC,0.2651443771916965,0.6737876376816425,1.6453985033220013,0.09803335377797313,0.86,0.14,0.07272876241868771,0.9990698809799773,0.0009301190200226628,1.0196934654349974,0.9846120279305774,0.6887131733862737,0.3304339746101377,0.1250138488828903,0.82,0.7368412000359967,280,1,0.5787489433098857,0.6836552565055054,0.0009301190200226628,0.061658533095925463,0.01538797206942255,abandonment_limit,55.0
S4,0,RFOTO-ABC,0.3142844882497672,0.6943537885148071,1.574740412542294,0.09039830884157977,0.81,0.19,0.09045526929540851,0.998030162356837,0.0019698376431628926,1.0328011776871362,0.9811512832713596,0.6210249643801581,0.3029930436599846,0.1386030878326118,0.82,0.8009258999954909,280,1,0.6589955091504643,0.8573900724381265,0.0019698376431628926,0.07082330023401387,0.018848716728640413,greedy_ratio,0.15
S4,1,RFOTO-ABC,0.31584796932979486,0.7608463067599905,2.3304221327166896,0.09146580371978828,0.87,0.13,0.15414429192191437,0.9991512735114584,0.0008487264885414558,1.0103583906748774,0.9671682852602692,0.43809332692772285,0.23822063161043922,0.1842450205590646,0.78,0.757912699948065,280,1,0.673580459289783,0.7145513912496342,0.0008487264885414558,0.14070257324494417,0.03283171473973079,greedy_ratio,0.15
S4,2,RFOTO-ABC,0.27362964729246564,0.6812325437179267,2.135878478936465,0.07638654808087657,0.86,0.14,0.12191006895542746,0.9975357722775452,0.0024642277224547725,1.0272852862912192,0.9750188120190533,0.5695081417485217,0.23860879579044939,0.1600663516066576,0.84,0.7747335999738425,280,1,0.584505082267818,0.6430989178317332,0.0024642277224547725,0.10719406123647295,0.02498118798094673,greedy_ratio,0.15
S4,3,RFOTO-ABC,0.2924128006085047,0.6111998542887682,1.3640888971020686,0.06757475240763675,0.89,0.11,0.1013980633911551,0.9986106121492888,0.001389387850711078,1.0158528923403065,0.9787768066898234,0.56805549477151,0.24201108960011772,0.14725278930997857,0.86,0.761443700059317,280,1,0.647511478817366,0.5899811767914477,0.001389387850711078,0.15430559127510957,0.021223193310176636,greedy_ratio,0.15
S4,4,RFOTO-ABC,0.25968317946206027,0.6517080856542613,1.4458589574796987,0.08864664970607514,0.89,0.11,0.06248656318095696,0.9991267681410332,0.0008732318589667865,1.0181571385628532,0.9860271577442594,0.6911407850609577,0.3853131959798628,0.11904137641007796,0.83,0.7434901000233367,280,1,0.5683241670270074,0.6769289673151557,0.0008732318589667865,0.05516887959152242,0.01397284225574058,greedy_ratio,0.15
S4,5,RFOTO-ABC,0.26516238182728896,0.6758777048801085,1.764278118350117,0.09657889673873213,0.85,0.15,0.06689958258393928,0.9990870282558691,0.0009129717441308815,1.0197471794692432,0.9863599341087271,0.6938436640841457,0.3304339746101377,0.11759545117017241,0.84,0.758241800009273,280,1,0.5797975938391884,0.6896158504852141,0.0009129717441308815,0.058168006248770714,0.013640065891272868,greedy_ratio,0.15
S4,0,RFOTO-ABC,0.3238327643941604,0.7068471057214044,1.830379009343232,0.09290947178466746,0.82,0.18,0.10245185083398735,0.9980434925556387,0.0019565074443611374,1.029198579774193,0.9782741732677904,0.6072544791627188,0.2872373808768982,0.14902456463046104,0.81,0.7173625999130309,280,1,0.6610478828413106,0.9011454552517408,0.0019565074443611374,0.07899519958947189,0.021725826732209574,greedy_ratio,0.35
S4,1,RFOTO-ABC,0.31582796412929376,0.7608938539713421,2.3304221327166896,0.09145603136821062,0.87,0.13,0.15414429192191437,0.9991502066939387,0.000849793306061265,1.0103707218177542,0.9671683259957964,0.43809332692772285,0.23822063161043922,0.18424490237916646,0.78,0.6759002000326291,280,1,0.6736625012187146,0.7142799050102413,0.000849793306061265,0.14070257324494417,0.032831674004203615,greedy_ratio,0.35
S4,2,RFOTO-ABC,0.27353891482207987,0.6811560715730436,2.135878478936465,0.07639851685055254,0.86,0.14,0.12191006895542746,0.9974918748191882,0.002508125180811652,1.0276594339122544,0.9750203447516659,0.5695081417485217,0.23860879579044939,0.16006131524955786,0.84,0.6905621000332758,280,1,0.5843999795618996,0.6426122086604952,0.002508125180811652,0.10719406123647295,0.02497965524833412,greedy_ratio,0.35
S4,3,RFOTO-ABC,0.29228714723624616,0.6082159202728309,1.2591009970019678,0.06813302307626594,0.89,0.11,0.09974873918807925,0.9986588042123692,0.001341195787630689,1.0158343171077395,0.9791996606342944,0.56805549477151,0.24201108960011772,0.14574698625292923,0.86,0.7896200000541285,280,1,0.6461045995709409,0.5939249522112748,0.001341195787630689,0.1531358577977508,0.020800339365705578,greedy_ratio,0.35
S4,4,RFOTO-ABC,0.2586767503421871,0.6462049598012335,1.6068852671469527,0.08875703693342368,0.9,0.1,0.06567007349534136,0.9991313617181824,0.0008686382818176486,1.0185316517173644,0.9853557306320799,0.692101019960222,0.3853131959798628,0.12190943851415909,0.82,0.6920515999663621,280,1,0.5689052421114744,0.6652695224550921,0.0008686382818176486,0.05715857353801266,0.01464426936792007,greedy_ratio,0.35
S4,5,RFOTO-ABC,0.2651443771916965,0.6737876376816425,1.6453985033220013,0.09803335377797313,0.86,0.14,0.07272876241868771,0.9990698809799773,0.0009301190200226628,1.0196934654349974,0.9846120279305774,0.6887131733862737,0.3304339746101377,0.1250138488828903,0.82,0.7119407000718638,280,1,0.5787489433098857,0.6836552565055054,0.0009301190200226628,0.061658533095925463,0.01538797206942255,greedy_ratio,0.35
S4,0,RFOTO-ABC,0.31366583367188955,0.6818436737037246,1.7209164768149976,0.09186194210130733,0.86,0.14,0.07537538332530618,0.9980272518417145,0.0019727481582855633,1.0274846722975102,0.9834438865014836,0.6396840457561737,0.3570558707660864,0.1297491152292881,0.83,0.6307464999845251,280,1,0.6541190391862532,0.8667908126448354,0.0019727481582855633,0.06895794128866546,0.016556113498516378,greedy_ratio,0.55
S4,1,RFOTO-ABC,0.31584796932979486,0.7608463067599905,2.3304221327166896,0.09146580371978828,0.87,0.13,0.15414429192191437,0.9991512735114584,0.0008487264885414558,1.0103583906748774,0.9671682852602692,0.43809332692772285,0.23822063161043922,0.1842450205590646,0.78,0.6307771999854594,280,1,0.673580459289783,0.7145513912496342,0.0008487264885414558,0.14070257324494417,0.03283171473973079,greedy_ratio,0.55
S4,2,RFOTO-ABC,0.27362964729246564,0.6812325437179267,2.135878478936465,0.07638654808087657,0.86,0.14,0.12191006895542746,0.9975357722775452,0.0024642277224547725,1.0272852862912192,0.9750188120190533,0.5695081417485217,0.23860879579044939,0.1600663516066576,0.84,0.7226073000347242,280,1,0.584505082267818,0.6430989178317332,0.0024642277224547725,0.10719406123647295,0.02498118798094673,greedy_ratio,0.55
S4,3,RFOTO-ABC,0.27189921050757965,0.5596045724823193,1.2591009970019678,0.0713981863422037,0.9,0.1,0.06708403382939174,0.9982251637663828,0.0017748362336172396,1.0155820090353025,0.9850671158123967,0.762697588275696,0.3388862601131657,0.12312292879794917,0.87,0.7486079999944195,280,1,0.601981747308901,0.6124652655752449,0.0017748362336172396,0.1077563358768148,0.014932884187603301,greedy_ratio,0.55
S4,4,RFOTO-ABC,0.2588710292356047,0.6500020817954898,1.3498383448167026,0.08811184471850239,0.89,0.11,0.06488799383856829,0.9991227462736599,0.0008772537263401725,1.0185978402188185,0.9855727327934126,0.6911407850609577,0.3853131959798628,0.12098950443382339,0.81,0.6624957000603899,280,1,0.5679885613706829,0.6691126975236363,0.0008772537263401725,0.05666977375252949,0.01442726720658738,greedy_ratio,0.55
S4,5,RFOTO-ABC,0.26380765782556664,0.6766575099669656,1.6453985033220013,0.09676024437266166,0.86,0.14,0.07302523373167397,0.9990657128509519,0.0009342871490480831,1.0199395381679708,0.9846718517495627,0.6938436640841457,0.3304339746101377,0.12476681378520946,0.82,0.667669799993746,280,1,0.579024359207524,0.6740431543283154,0.0009342871490480831,0.061836060828252555,0.015328148250437268,greedy_ratio,0.55
S4,0,RFOTO-ABC,0.3283526927345875,0.6951814013323393,1.7209164768149976,0.0980063000360563,0.81,0.19,0.0817188982516898,0.9981079631145561,0.0018920368854440917,1.0322613196441857,0.982754230374503,0.597583933980078,0.3708087155959326,0.13247039436043603,0.83,0.60336870001629,280,1,0.6559373145759452,0.9660822479283833,0.0018920368854440917,0.06596301632172141,0.017245769625496954,greedy_ratio,0.75
S4,1,RFOTO-ABC,0.31576274660086046,0.7598805335239178,2.3304221327166896,0.09130311507400918,0.87,0.13,0.15414429192191437,0.999151470372082,0.0008485296279179478,1.0103557186994039,0.967168273531534,0.43809332692772285,0.23822063161043922,0.18424505458588025,0.78,0.6318782999878749,280,1,0.6733522217658436,0.7143638863487335,0.0008485296279179478,0.14070257324494417,0.032831726468465994,greedy_ratio,0.75
S4,2,RFOTO-ABC,0.27362964729246564,0.6812325437179267,2.135878478936465,0.07638654808087657,0.86,0.14,0.12191006895542746,0.9975357722775452,0.0024642277224547725,1.0272852862912192,0.9750188120190533,0.5695081417485217,0.23860879579044939,0.1600663516066576,0.84,0.6479297000914812,280,1,0.584505082267818,0.6430989178317332,0.0024642277224547725,0.10719406123647295,0.02498118798094673,greedy_ratio,0.75
S4,3,RFOTO-ABC,0.2925518823741915,0.6089617794092197,1.2591009970019678,0.06811215348017793,0.89,0.11,0.09987179995767484,0.9986584201625763,0.0013415798374235288,1.0158545848014278,0.9791840860649517,0.56805549477151,0.24201108960011772,0.14580270070533202,0.86,0.6746951999375597,280,1,0.646122497133437,0.5954984753217554,0.0013415798374235288,0.15322313493930795,0.020815913935048336,greedy_ratio,0.75
S4,4,RFOTO-ABC,0.25859818386412936,0.64266661732892,1.39868231657923,0.08785931571588401,0.9,0.1,0.05990616215986933,0.9987565307737808,0.001243469226219084,1.0206780020360213,0.9867380626883195,0.707123453679112,0.3853131959798628,0.11593179088640831,0.82,0.624502099934034,280,1,0.566204950309686,0.6761328640425087,0.001243469226219084,0.05355612895334264,0.01326193731168046,greedy_ratio,0.75
S4,5,RFOTO-ABC,0.26485549581400547,0.6722859615500424,1.764278118350117,0.09623927673235666,0.85,0.15,0.06732966112697322,0.9990881823312262,0.0009118176687738799,1.019709187059507,0.986266582304439,0.6938436640841457,0.3304339746101377,0.11800275734254649,0.84,0.6222646000096574,280,1,0.5790071628936239,0.688366295499291,0.0009118176687738799,0.05842553831046767,0.013733417695561023,greedy_ratio,0.75
