scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,budget,comparison_suite
S1,0,RFOTO-ABC,0.15266211714047107,0.38987052847904746,0.8029993658221449,0.048268548202801395,1.0,0.0,0.0,0.9966272608049491,0.003372739195050767,1.0146415730188831,0.9998825050134034,0.9792060280347239,0.9532705772605485,0.010840147290881872,1.0,0.11934490001294762,320,1,0.34976748762750687,0.43018715431063137,0.003372739195050767,0.0,0.00011749498659663349,320,advanced
S1,0,Standard-ABC,0.35595374961142495,0.7675444922858927,2.0065531559602117,0.12744575498338911,0.65,0.35,0.26132915675391805,0.9996757572284011,0.00032424277159895376,1.018049487987499,0.9485640557389545,0.5553453171991201,0.34104786435660217,0.23286275250028932,0.65,0.12328910001087934,320,1,0.741843991348642,0.7420693743834538,0.00032424277159895376,0.20560842169307908,0.051435944261045474,320,advanced
S1,0,GA,0.24379021060452652,0.5870399478461426,1.6810598447743688,0.07064410976133131,0.8,0.2,0.09559800065625991,0.9989252280646191,0.0010747719353808249,1.031384498415352,0.9812260973917097,0.6479101230813432,0.6225864167580385,0.13832246986930322,0.75,0.111962599970866,320,1,0.5553730374552555,0.5560000597738498,0.0010747719353808249,0.07406360998526199,0.01877390260829026,320,advanced
S1,0,PSO,0.5294953774403128,1.1285986746965815,2.43312376870938,0.1309177814132368,0.35,0.65,0.3971857985333229,0.9979301483440111,0.002069851655988991,1.0612437533309762,0.9386603979110036,0.4805504145758172,0.4766591295724253,0.25563259547739875,0.3,0.11890450003556907,320,1,1.210641889080372,0.7889410040556437,0.002069851655988991,0.3955153756693037,0.06133960208899636,320,advanced
S1,0,DE,0.6100724485420037,1.394831262120151,3.206062389386781,0.18063307258119818,0.3,0.7,0.5123562451696271,0.99508933501199,0.004910664988009977,1.0305346245984677,0.9233682589902271,0.44860917287290386,0.33248213519715397,0.2880824988566819,0.3,0.12720029999036342,320,1,1.3429344409866724,0.9696841064390647,0.004910664988009977,0.46563731272163195,0.07663174100977288,320,advanced
S1,0,Gbest-ABC,0.17929572779479266,0.4437824104780355,0.8077332164073838,0.06224654878322923,0.95,0.05,0.030310136318685472,0.9988951677250262,0.0011048322749738215,1.0150975815736196,0.9930264546336971,0.9613401819213925,0.6225864167580385,0.0838004606708118,0.95,0.13271659996826202,320,1,0.388875100340512,0.4793013898242702,0.0011048322749738215,0.03565898390433585,0.006973545366302902,320,advanced
S1,0,MeABC,0.17929572779479266,0.4437824104780355,0.8077332164073838,0.06224654878322923,0.95,0.05,0.030310136318685472,0.9988951677250262,0.0011048322749738215,1.0150975815736196,0.9930264546336971,0.9613401819213925,0.6225864167580385,0.0838004606708118,0.95,0.1263648000312969,320,1,0.388875100340512,0.4793013898242702,0.0011048322749738215,0.03565898390433585,0.006973545366302902,320,advanced
S1,0,JADE,0.17298749994642704,0.38039562179355857,0.6933333805936924,0.05327517285865944,1.0,0.0,0.0,0.9965325776587635,0.0034674223412363816,1.0144055018937013,0.9998820422594057,0.9778934885762376,0.9536525498549421,0.01086147578653784,1.0,0.13246759999310598,320,1,0.3624375338200167,0.5444462557472429,0.0034674223412363816,0.0,0.00011795774059430997,320,advanced
S1,0,LSHADE-lite,0.15465320332907245,0.37781265727706204,0.6835419046002331,0.04921068891833208,1.0,0.0,0.0,0.9970035588168968,0.002996441183103116,1.0154840908666594,0.9998807509345243,0.9895597758989559,0.950207645112132,0.010920773210200291,1.0,0.1264841000083834,320,1,0.35517632768923213,0.43494630540214974,0.002996441183103116,0.0,0.00011924906547566838,320,advanced
S1,0,CMAES-lite,0.17929572779479266,0.4437824104780355,0.8077332164073838,0.06224654878322923,0.95,0.05,0.030310136318685472,0.9988951677250262,0.0011048322749738215,1.0150975815736196,0.9930264546336971,0.9613401819213925,0.6225864167580385,0.0838004606708118,0.95,0.12875249999342486,320,1,0.388875100340512,0.4793013898242702,0.0011048322749738215,0.03565898390433585,0.006973545366302902,320,advanced
