scenario,best_competitor,rfoto_objective,best_competitor_objective,objective_gap_pct_positive_means_rfoto_worse,rfoto_delay_mean_s,best_competitor_delay_mean_s,delay_gap_pct,rfoto_violation_rate,best_competitor_violation_rate,violation_gap_percentage_points,rfoto_energy_mean_j,best_competitor_energy_mean_j,energy_gap_pct,rfoto_reliability_mean,best_competitor_reliability_mean,reliability_gap_percentage_points,rfoto_jain,best_competitor_jain,jain_gap,rfoto_offload_rate,best_competitor_offload_rate,offload_rate_gap_percentage_points,users,servers,blocked_link_fraction,los_link_fraction,median_distance_m,best_link_success_q_mean,strict_reliability_fraction,deadline_p50_s,compute_p50_gcycles,server_bandwidth_sum_mhz,server_cpu_sum_ghz,queue_delay_p50_ms
S2,Offload-then-Allocate,0.19130914074827282,0.17902226521157266,6.863322571736675,0.48318261564981896,0.4203258273628612,14.954300734105109,0.032,0.032,0.0,0.05338815864942819,0.046412853043493255,15.028823156806178,0.9985789481935775,0.9982770142629336,0.030193393064392726,0.9948282577168185,0.9950632891770554,-0.0002350314602369563,0.9413333333333332,0.9786666666666667,-3.733333333333344,50.0,5.0,0.05480000000000001,0.16933333333333334,172.43651224772137,0.9992114503383637,0.20333333333333328,0.979868363608817,1.5338138304,125.55087517012348,500.0,40.75
S4,Offload-then-Allocate,0.27111885151996507,0.26161240782563283,3.633789304316319,0.6450442078277334,0.5899208892245018,9.344188281872103,0.11533333333333333,0.09433333333333334,2.099999999999999,0.0825306856861428,0.07388154049602606,11.70677429307522,0.9981069728957582,0.9975258701712566,0.05811027245016254,0.9842596513349585,0.9850164383394338,-0.0007567870044752345,0.8383333333333333,0.9269999999999999,-8.866666666666667,100.0,8.0,0.2499583333333333,0.08,281.0768585205078,0.9952501061757405,0.209,0.9806658022985459,1.5490171648,200.34771803761495,800.0,45.7635
