algorithm,objective_mean,objective_std,delay_mean_s,energy_mean_j,violation_rate,link_failure_rate,jain,offload_rate,runtime_s,t_hat,e_hat,r_hat,v_hat,fairness_loss,objective_gap_pct_vs_full_positive_means_worse
RFOTO-ABC-D,0.2523356036120462,0.03520032484809229,0.5457961252050696,0.0656923460200057,0.0955,0.002223194487562755,0.9846065509470197,0.844,0.7081108150130604,0.5760012443084748,0.5742913315462578,0.002223194487562755,0.07775174619011707,0.015393449052980245,-8.929056655485812
RFOTO-ABC,0.2770758645350587,0.037966811294278875,0.6347807681711733,0.07616260542659073,0.119,0.001745393157780595,0.9824223765634548,0.836,1.0164886199927423,0.594061227368986,0.6901325162201568,0.001745393157780595,0.08821983245100337,0.0175776234365451,0.0
RFOTO-ABC-S,0.2770758645350587,0.037966811294278875,0.6347807681711733,0.07616260542659073,0.119,0.001745393157780595,0.9824223765634548,0.836,1.0148717999923975,0.594061227368986,0.6901325162201568,0.001745393157780595,0.08821983245100337,0.0175776234365451,0.0
RFOTO-ABC-R,0.2783357896141997,0.036990389638595855,0.6394377010621788,0.07571686325558027,0.12349999999999998,0.00175536993316796,0.9818272176808692,0.8314999999999999,0.9262775600131136,0.6008932472257171,0.6788911461551576,0.00175536993316796,0.0928072581999743,0.018172782319130755,0.4547220600593116
RFOTO-ABC-F,0.32243590260273686,0.044248142595157545,0.6344549824220199,0.07644139244328502,0.11950000000000001,0.001767278295632685,0.9830696703612546,0.8385,1.0161559499916621,0.5911783292963191,0.6991907548280315,0.001767278295632685,0.08417546401966124,0.01693032963874542,16.37098133530814
RFOTO-ABC-RF,0.32579469950095863,0.044057329504380294,0.6425254149753934,0.0766624651890139,0.127,0.0017732241014917348,0.9814993317303875,0.825,0.9086161150073166,0.6038103161247932,0.6789192242209989,0.0017732241014917348,0.09512154836467349,0.018500668269612493,17.583211387845534
RFOTO-ABC-DG,0.5076105196697179,0.05265903840811224,1.1023757991101113,0.13202031211376924,0.44749999999999995,0.003400636126010205,0.9229782237990168,0.4455,0.7998573900025804,1.0907760416754353,0.8458841770980599,0.003400636126010205,0.38320195612320246,0.07702177620098316,83.20271977550372
RFOTO-ABC-G,0.6031516267282314,0.04215432486357535,1.3270445827863913,0.15363991168340865,0.5650000000000001,0.00218041522755248,0.9074562575419571,0.377,1.1743362599809188,1.2869166991453902,0.9682032399298516,0.00218041522755248,0.4874972861527566,0.09254374245804288,117.6846502817332
