scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,reference_objective,reference_type,reference_gap_percent
S0-small,0,RFOTO-ABC,0.051196321206232145,0.1631564669984335,0.2891601357504444,0.013306594063686644,1.0,0.0,0.0,0.9964729850651605,0.003527014934839534,1.0151555927340328,0.9999577697623336,0.9858873399103716,0.9821986017706499,0.006498616861043789,1.0,0.19453759992029518,600,1,0.1381220300494806,0.10636050780829431,0.003527014934839534,0.0,4.2230237666363024e-05,0.0504919176434187,best observed: high-budget DE/RFOTO-ABC plus compared runs,1.395081818417056
S0-small,0,Standard-ABC,0.05611760487302013,0.17069955241863202,0.2434855270429262,0.012969763443585263,1.0,0.0,0.0,0.9962338738128621,0.003766126187137897,1.0123295916057942,0.9999417395357801,0.9840684974485696,0.9792736667394993,0.007633076618970169,1.0,0.16269029991235584,600,1,0.15379861662975303,0.11270657605680874,0.003766126187137897,0.0,5.826046421986142e-05,0.0504919176434187,best observed: high-budget DE/RFOTO-ABC plus compared runs,11.141757913278038
S0-small,0,GA,0.0506882502610617,0.15724098433549336,0.24700217424066995,0.013593986878290297,1.0,0.0,0.0,0.9967261853391344,0.003273814660865589,1.0152248294851371,0.9999648092932462,0.9870358306617608,0.9837299227725023,0.005932279928909594,1.0,0.14696060004644096,600,1,0.13804073704680447,0.1034534964078292,0.003273814660865589,0.0,3.5190706753840395e-05,0.0504919176434187,best observed: high-budget DE/RFOTO-ABC plus compared runs,0.3888396931753104
S0-small,0,PSO,0.14713886223824238,0.3363204131798198,0.9768218521419657,0.048534752725944645,0.8333333333333334,0.16666666666666666,0.13256514505452613,0.9968731749561556,0.003126825043844428,1.0258596646469988,0.9694841777752554,0.6645041103202417,0.5569817784679832,0.1774157515323223,0.8333333333333334,0.14620950003154576,600,1,0.3171004042364413,0.2704455466282029,0.003126825043844428,0.08837676336968409,0.030515822224744582,0.0504919176434187,best observed: high-budget DE/RFOTO-ABC plus compared runs,191.4107229544311
S0-small,0,DE,0.18966099686694662,0.6848961624738662,2.1416854765386755,0.07481096372101152,0.8333333333333334,0.16666666666666666,0.083709170555883,0.9993891636177983,0.0006108363822017367,1.0323245808087487,0.9829375003326114,0.7484878424699499,0.6656659385167545,0.13175235169140628,0.6666666666666666,0.20178430003579706,600,1,0.4535925445487523,0.397531933848196,0.0006108363822017367,0.055806113703922,0.017062499667388598,0.0504919176434187,best observed: high-budget DE/RFOTO-ABC plus compared runs,275.6264481899069
S0-small,0,Delay-Greedy,0.060156244136902536,0.19789096779238224,0.40255820944111886,0.01721158861182566,1.0,0.0,0.0,0.99773064756633,0.002269352433670028,1.020474734806072,0.9999909246043339,0.992887505408202,0.9913086891993329,0.003012553402275991,1.0,0.00042189995292574167,1,1,0.16384692503326972,0.12492854055000796,0.002269352433670028,0.0,9.07539566608051e-06,0.0504919176434187,best observed: high-budget DE/RFOTO-ABC plus compared runs,19.14034353326551
S0-small,1,RFOTO-ABC,0.11233802300698705,0.22977986779486081,0.6857834733020004,0.06458561008498916,0.8333333333333334,0.16666666666666666,0.03640020319224232,0.9915029496763376,0.00849705032366238,1.0014708518981934,0.9955232754738105,0.8558563844805791,0.8207477013974106,0.06705859907878547,0.8333333333333334,0.19885529996827245,600,1,0.22085407654209255,0.32862369765977767,0.00849705032366238,0.02184012191534539,0.004476724526189524,0.08019524548801021,best observed: high-budget DE/RFOTO-ABC plus compared runs,40.08065231720304
S0-small,1,Standard-ABC,0.11228253281411633,0.22843561453796488,0.681433716468289,0.06451380282198389,0.8333333333333334,0.16666666666666666,0.03640020319224232,0.991772219666219,0.008227780333781076,1.0014708518981934,0.9955256387601356,0.856260289465401,0.8207477013974106,0.06704081687479627,0.8333333333333334,0.19407550001051277,600,1,0.22129448284262682,0.3278811424792493,0.008227780333781076,0.02184012191534539,0.004474361239864444,0.08019524548801021,best observed: high-budget DE/RFOTO-ABC plus compared runs,40.01145844849793
S0-small,1,GA,0.11208382981332281,0.22725465603933007,0.6798573663274274,0.06436466740490582,0.8333333333333334,0.16666666666666666,0.03640020319224232,0.9919083168703088,0.008091683129691218,1.0014708518981934,0.9955265371113569,0.8564644352715358,0.8207477013974106,0.06703405614657708,0.8333333333333334,0.18804949999321252,600,1,0.22106852493471943,0.3271154136104792,0.008091683129691218,0.02184012191534539,0.004473462888643143,0.08019524548801021,best observed: high-budget DE/RFOTO-ABC plus compared runs,39.76368440705151
S0-small,1,PSO,0.28458941491637607,0.8856708334792055,3.2675002354172,0.07631325365195488,0.6666666666666666,0.3333333333333333,0.4325289090295142,0.9932270521457601,0.006772947854239875,1.0018329628961185,0.9174319290050914,0.4272925184423826,0.2961407907907066,0.29999854191264685,0.6666666666666666,0.16436059994157404,600,1,0.547934326871633,0.4599113108263761,0.006772947854239875,0.25951734541770854,0.0825680709949086,0.08019524548801021,best observed: high-budget DE/RFOTO-ABC plus compared runs,254.87068240089658
