suite,contrast,scenario,budget,initialization,reference,comparator,n,reference_mean,comparator_mean,mean_paired_difference,mean_relative_gain_pct,ci_low_pct,ci_high_pct,p_raw,wins,ties,losses,p_holm
controlled,matched_search,S2,320,greedy,RFOTO-ABC,DE-RK,20,0.19740153433753407,0.20988005848837074,0.012478524150836683,5.688665128291314,3.4594848486074237,8.117790189586918,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S2,320,greedy,RFOTO-ABC,LSHADE-lite,20,0.19740153433753407,0.20684999933502707,0.009448464997493028,4.404928922894645,2.3769794070295203,6.733592890786221,0.0005934167947217433,17,0,3,0.01958275422581753
controlled,matched_search,S2,320,greedy,RFOTO-ABC,No-fair-selection,20,0.19740153433753407,0.19700736841766114,-0.0003941659198729075,-0.18457353188311362,-0.9682949718120353,0.3066829010890745,0.463071015014588,4,14,2,1.0
controlled,matched_search,S2,320,greedy,RFOTO-ABC,No-risk-sampling,20,0.19740153433753407,0.2021627828085571,0.004761248471023004,2.184082446338576,0.37230071021073907,4.065083466758929,0.07313806917102693,14,0,6,1.0
controlled,matched_search,S2,320,greedy,RFOTO-ABC,Plain-ABC,20,0.19740153433753407,0.20277085638943343,0.00536932205189934,2.4763493582527127,0.2269199384000131,4.769333757842898,0.07932167969676177,12,0,8,1.0
controlled,matched_search,S2,320,greedy,RFOTO-ABC,Random-scout,20,0.19740153433753407,0.19740153433753407,0.0,0.0,0.0,0.0,1.0,0,20,0,1.0
controlled,matched_search,S2,320,greedy,RFOTO-ABC,Uniform-allocation,20,0.19740153433753407,0.17545739646335917,-0.02194413787417491,-12.853070719399579,-15.803665757783856,-10.208137803876632,8.857457687863547e-05,0,0,20,0.00744026445780538
controlled,matched_search,S2,320,random,RFOTO-ABC,DE-RK,20,0.4557363859518128,0.556925604714961,0.10118921876314815,18.286794336528907,15.518249555533348,21.29205455629246,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S2,320,random,RFOTO-ABC,LSHADE-lite,20,0.4557363859518128,0.43746914147918936,-0.018267244472623508,-4.449856639973134,-8.812574581045396,-0.13365045666727549,0.07932167969676177,6,0,14,1.0
controlled,matched_search,S2,320,random,RFOTO-ABC,Plain-ABC,20,0.4557363859518128,0.5208210475961135,0.06508466164430053,12.560232492810274,9.476500892497219,15.904081449300415,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S2,1000,greedy,RFOTO-ABC,DE-RK,20,0.18808162474781848,0.20988005848837074,0.02179843374055228,10.006080107903799,6.970858872544562,13.246015796013436,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S2,1000,greedy,RFOTO-ABC,LSHADE-lite,20,0.18808162474781848,0.19445735304249004,0.006375728294671571,3.3673032549213664,1.129610325893037,5.659081374813344,0.0064246026289671515,17,0,3,0.19273807886901453
controlled,matched_search,S2,1000,greedy,RFOTO-ABC,No-fair-selection,20,0.18808162474781848,0.18798525732199142,-9.63674258270375e-05,-0.0557806314889112,-1.0692153062658243,0.8794502294054303,0.9249783071207602,7,6,7,1.0
controlled,matched_search,S2,1000,greedy,RFOTO-ABC,No-risk-sampling,20,0.18808162474781848,0.19226839561173678,0.004186770863918325,2.1383326020852085,0.230451759822131,4.088018384929207,0.04004379807224231,13,0,7,1.0
controlled,matched_search,S2,1000,greedy,RFOTO-ABC,Plain-ABC,20,0.18808162474781848,0.19347427648312335,0.005392651735304876,2.4909519420426145,-0.17245530197275943,5.417644946994121,0.2789649507806645,11,0,9,1.0
controlled,matched_search,S2,1000,greedy,RFOTO-ABC,Random-scout,20,0.18808162474781848,0.18800040333889056,-8.122140892789509e-05,-0.05924207874299714,-0.35168398052826066,0.17395774429926922,0.5929800980174267,1,17,2,1.0
controlled,matched_search,S2,1000,greedy,RFOTO-ABC,Uniform-allocation,20,0.18808162474781848,0.17429103486471204,-0.013790589883106455,-8.08208680853964,-9.901576674448368,-6.349081087491286,8.857457687863547e-05,0,0,20,0.00744026445780538
controlled,matched_search,S2,1000,random,RFOTO-ABC,DE-RK,20,0.3469325955130996,0.5325632528378136,0.18563065732471404,34.71843500157344,31.87136903975025,37.38222944184368,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S2,1000,random,RFOTO-ABC,LSHADE-lite,20,0.3469325955130996,0.3425508418096851,-0.00438175370341441,-1.899243846664417,-6.577106579900941,2.264519825967949,0.910824985273362,12,0,8,1.0
