suite,scenario,budget,initialization,algorithm,theta,objective_mean,objective_std,violation_rate_mean,violation_rate_std,jain_mean,jain_std,r_hat_mean,r_hat_std,initial_objective_mean,initial_objective_std,initial_to_final_gain_pct_mean,initial_to_final_gain_pct_std,scout_count_mean,scout_count_std,accepted_neighbors_mean,accepted_neighbors_std,runtime_s_mean,runtime_s_std
controlled,S2,320,greedy,DE-RK,0.8,0.20988005848837074,0.03317566284893183,0.059,0.047892423310230574,0.9917725349641021,0.0085871915325531,0.001318336340175165,0.0006279359903296636,0.20988005848837074,0.03317566284893183,3.835954601979064e-15,1.0559306656933062e-14,-1.0,0.0,-1.0,0.0,0.5048411600004329,0.07274934682083861
controlled,S2,320,greedy,LSHADE-lite,0.8,0.2068499993350271,0.03125794328467019,0.05500000000000001,0.03831998241951031,0.992433713587964,0.007734544404978249,0.00137305696138225,0.000702762852541659,0.20988005848837074,0.03317566284893183,1.3223216732041942,2.7857292359476333,-1.0,0.0,-1.0,0.0,0.5114163999998709,0.06863291976367386
controlled,S2,320,greedy,No-fair-selection,0.8,0.19700736841766114,0.028963443107447542,0.05,0.04129483209670112,0.9937168282371085,0.006836563777448894,0.0014569602682215099,0.0006499585809955115,0.20988005848837074,0.03317566284893183,5.841841294235417,5.611750193935138,0.1,0.30779350562554625,82.15,14.124540048403254,0.5082922450001206,0.08682241493426494
controlled,S2,320,greedy,No-risk-sampling,0.8,0.2021627828085571,0.03154339139609307,0.06,0.05271572221283753,0.9925072106489342,0.007853536486401538,0.001382383421691655,0.0006588657594797826,0.20988005848837074,0.03317566284893183,3.591093943588151,3.341367666390756,0.1,0.3077935056255462,70.55,7.472581460526918,0.5146362600004067,0.08427732128707978
controlled,S2,320,greedy,Plain-ABC,0.8,0.2027708563894334,0.031111005526862964,0.05500000000000001,0.041485571366186434,0.9919078793964056,0.008121707200096142,0.00130540084721929,0.0006606075515650048,0.20988005848837074,0.03317566284893183,3.270675344446102,3.047803677747164,0.0,0.0,62.7,6.890878792020344,0.4557755000001634,0.08047964165308748
controlled,S2,320,greedy,RFOTO-ABC,0.8,0.19740153433753407,0.029323053378795115,0.051000000000000004,0.0422897275071805,0.9936147083473916,0.0069031485194770035,0.00143191909885281,0.00067778976048885,0.20988005848837074,0.03317566284893183,5.688665128291324,5.4496644166165655,0.0,0.0,83.35,12.478507839270561,0.5124326500001188,0.0895667187127205
controlled,S2,320,greedy,Random-scout,0.8,0.19740153433753407,0.029323053378795115,0.051000000000000004,0.0422897275071805,0.9936147083473916,0.0069031485194770035,0.00143191909885281,0.00067778976048885,0.20988005848837074,0.03317566284893183,5.688665128291324,5.4496644166165655,0.0,0.0,83.35,12.478507839270561,0.5110515700005636,0.08777661882391574
controlled,S2,320,greedy,Uniform-allocation,0.8,0.17545739646335917,0.0285547796156142,0.033,0.027739388677664227,0.9944880761587893,0.006488258633164708,0.0018935624585853547,0.0011383022723636144,0.17907418978354658,0.02856800761590853,1.9712060544108845,3.7335655092829247,0.3,0.5712405705774795,63.35,8.343134587002783,0.34800909000041425,0.051609587461827804
controlled,S2,320,random,DE-RK,0.8,0.556925604714961,0.04767257851523869,0.527,0.046009152407571675,0.9094799738270284,0.014320239797018226,0.0028812452244994036,0.0013960271561008835,0.6004136141304357,0.0729697170156679,6.677416059582425,7.02048201737008,-1.0,0.0,-1.0,0.0,0.5479519500000606,0.07091747619510531
controlled,S2,320,random,LSHADE-lite,0.8,0.43746914147918936,0.05004731355662102,0.40499999999999997,0.07619227754762774,0.938979265279214,0.011749939886339694,0.003138562839657035,0.0016660664898450043,0.6004136141304357,0.0729697170156679,26.609217749756464,8.786144099874484,-1.0,0.0,-1.0,0.0,0.5908620949994656,0.07181334956020329
