algorithm,n,objective_mean,objective_sd,deadline_rate,jain_mean
RFOTO-ABC,20,0.277075864535059,0.0379668112942789,0.119,0.982422376563455
RFOTO-ABC-D,20,0.252335603612046,0.0352003248480923,0.0955,0.98460655094702
RFOTO-ABC-DG,20,0.507610519669718,0.0526590384081123,0.4475,0.922978223799017
RFOTO-ABC-F,20,0.276610066658138,0.038412537073879,0.1195,0.983069670361255
RFOTO-ABC-G,20,0.603151626728231,0.0421543248635754,0.565,0.907456257541957
RFOTO-ABC-R,20,0.2783357896142,0.0369903896385958,0.1235,0.981827217680869
RFOTO-ABC-RF,20,0.279700594816257,0.0381921954820745,0.127,0.981499331730388
RFOTO-ABC-S,20,0.277075864535059,0.0379668112942789,0.119,0.982422376563455
