algorithm,S2_320FE,S4_320FE,S6_320FE,S2_1000FE,S4_1000FE,S6_1000FE
No-fair-selection,0.197007368417661,0.297211190645016,0.374971924192319,0.187985257321991,0.291663605206277,0.370603063075961
No-risk-sampling,0.202162782808557,0.299549742530377,0.377677917150717,0.192268395611737,0.294087500300491,0.3744165155217
Plain-ABC,0.202770856389433,0.300852805754512,0.377745056920427,0.193474276483123,0.293234260215134,0.375324418389487
RFOTO-ABC,0.197401534337534,0.295524783053218,0.375075712740898,0.188081624747818,0.293369559106228,0.371254741074467
Random-scout,0.197401534337534,0.295524783053218,0.375075712740898,0.188000403338891,0.2931837395756,0.371194879425685
Uniform-allocation,0.175457396463359,0.274910313658346,0.348286489343614,0.174291034864712,0.272822940718204,0.346398365200233
