n_users,n_servers,n,objective_mean,objective_sd,runtime_mean_s,runtime_sd_s
20,3,10,0.137248390113651,0.0310797768342562,0.336464009981137,0.0220626614815105
50,5,10,0.191949174667064,0.0333605354561343,0.541419440007303,0.0402707553812581
100,5,10,0.332745839660791,0.0330820531428177,0.647271629993338,0.0342224867227359
150,8,10,0.340414996111271,0.0241267504210308,0.955957980023231,0.0457489571005729
200,10,10,0.372072216237362,0.0277854795016893,1.1912984100054,0.0404603464827365
