algorithm,n_episodes,objective_mean,objective_sd,runtime_mean_s,runtime_sd_s,deadline_rate_mean,deadline_rate_sd
Cold-RFOTO,3,0.27066086185394,0.0129827293137619,0.308211381323636,0.0103867759721255,0.137987564282719,0.0124428135465916
Warm-RFOTO,3,0.271080744421554,0.0135204825352435,0.31156838333079,0.0102140979192663,0.136747677566317,0.0117499736113252
Cold-RFOTO (alternative seed),3,0.272401862929325,0.0133895572610837,0.279404628659443,0.00994748424056797,0.138906458725357,0.011194248531094
Delay-Greedy,3,0.286162906699497,0.0148702977326107,0.00479480266881481,0.000447649689216805,0.152102249467711,0.0135425379145417
Max-gain,3,0.264763770293885,0.0149457322464339,0.00195413399720559,5.23550777104556e-05,0.134578148908244,0.0108373987037617
