scenario,theta_0_8_mean,theta_1_6_mean,mean_relative_gain_pct,ci_low_pct,ci_high_pct,p_holm,wins,ties,losses,deadline_rate_0_8,deadline_rate_1_6
S1,0.153084367473907,0.138198521014833,8.86286875080609,4.10469365589502,13.0128099024829,0.0162740000268949,19,0,1,0.045,0.0325
S2,0.19442662971942,0.176158101606496,9.37934044117134,8.29085179845263,10.4418980306542,0.0021257898450872,20,0,0,0.029,0.023
S3,0.346512527167918,0.316814196068185,8.39904499070856,6.72562751925809,10.2435148095735,0.0021257898450872,20,0,0,0.2855,0.1975
S4,0.27543723401551,0.252222987529771,8.36296532864937,6.89126540045255,9.78597358683386,0.0021257898450872,19,0,1,0.1225,0.1025
S5,0.339452180603848,0.313542923784997,7.62004034786258,6.27353299638561,8.94785048654786,0.0021257898450872,20,0,0,0.256,0.196
S6,0.379505210903633,0.353587380781442,6.88988985988931,5.87849491319433,8.04159844572305,0.0021257898450872,20,0,0,0.31925,0.24525
