scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,suite,budget,initialization,theta,wireless_seed,task_seed,init_seed,optimizer_seed,population_sha256,initial_objective,initial_to_final_gain_pct,scout_count,accepted_neighbors
S2,0,DE-RK,0.24332368655708456,0.6077592154089069,1.3231358135522542,0.06516344911775199,0.94,0.06,0.09963681678952051,0.9994610305320296,0.0005389694679703027,1.0174108671815516,0.9770453286799629,0.6810609397340202,0.3421567671168777,0.15327742046651596,0.92,0.3200282000034349,320,1,0.5313006787920544,0.5324182108080522,0.0005389694679703027,0.10833916258505391,0.022954671320037145,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.24332368655708456,0.0,-1,-1
S2,0,LSHADE-lite,0.24327458154652823,0.6092622829874089,1.2584913266435007,0.06329579410237622,0.94,0.06,0.09963681678952051,0.9994147969087603,0.0005852030912396145,1.0189621819999586,0.9770468408621809,0.6812593726425327,0.3421567671168777,0.1532722530535422,0.92,0.32974909999757074,320,1,0.5358234530876463,0.5244927542628823,0.0005852030912396145,0.10833916258505391,0.022953159137819146,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.24332368655708456,0.020180941383529105,-1,-1
S2,0,No-fair-selection,0.24332368655708456,0.6077592154089069,1.3231358135522542,0.06516344911775197,0.94,0.06,0.09963681678952051,0.9994610305320296,0.0005389694679703027,1.0174108671815516,0.9770453286799629,0.6810609397340202,0.3421567671168777,0.15327742046651596,0.92,0.3409585999979754,320,1,0.5313006787920544,0.5324182108080521,0.0005389694679703027,0.10833916258505391,0.022954671320037145,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.24332368655708456,0.0,1,67
S2,0,No-risk-sampling,0.24226708050835535,0.6104402835218476,1.3231358135522542,0.0644750677552514,0.94,0.06,0.09963681678952051,0.9994697068069178,0.0005302931930821653,1.017311464907438,0.9770450855547297,0.6810609397340202,0.3421567671168777,0.15327825125671107,0.92,0.35087980000389507,320,1,0.5347282015754256,0.51967295775219,0.0005302931930821653,0.10833916258505391,0.022954914445270314,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.24332368655708456,0.4342388789516057,1,60
S2,0,Plain-ABC,0.24043425212581004,0.6148356109731057,1.4208909460022379,0.065709022495266,0.92,0.08,0.09974761865238028,0.9995552265509484,0.0004447734490516719,1.016214535033171,0.9770479508523252,0.6829642435769494,0.3421567671168777,0.15326845990634383,0.92,0.2907323000035831,320,1,0.5363457945251876,0.5047595866347752,0.0004447734490516719,0.10840841374934126,0.02295204914767479,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.24332368655708456,1.1874858844030547,0,69
S2,0,RFOTO-ABC,0.24218477469926547,0.6088715491426511,1.3231358135522542,0.06521051159527913,0.94,0.06,0.09963681678952051,0.9994610305938397,0.0005389694061602435,1.0174091738541833,0.9770453286780334,0.6810609397340202,0.3421567671168777,0.15327742047310997,0.92,0.32437840000056894,320,1,0.5322663625154913,0.5232159922973474,0.0005389694061602435,0.10833916258505391,0.022954671321966602,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.24332368655708456,0.4680645250506236,0,66
S2,0,Random-scout,0.24218477469926547,0.6088715491426511,1.3231358135522542,0.06521051159527913,0.94,0.06,0.09963681678952051,0.9994610305938397,0.0005389694061602435,1.0174091738541833,0.9770453286780334,0.6810609397340202,0.3421567671168777,0.15327742047310997,0.92,0.3490174999969895,320,1,0.5322663625154913,0.5232159922973474,0.0005389694061602435,0.10833916258505391,0.022954671321966602,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.24332368655708456,0.4680645250506236,0,66
S2,0,Uniform-allocation,0.23358622294028492,0.5393232319602896,1.2571873675964678,0.059206600069926625,0.94,0.06,0.09963681678952051,0.9996436215161991,0.0003563784838008721,1.0154662944180726,0.977044606600869,0.6846626916939231,0.3421567671168777,0.15327988789169616,0.92,0.24651530000119237,320,1,0.5290022146910127,0.4715752927642562,0.0003563784838008721,0.10833916258505391,0.022955393399130997,controlled,320,greedy,0.8,910020000,1010020000,1110020000,1210020000,228d560a7c6bfc4e9dc913f7e1693d6e6e61804407fed52a91be7dcee290f5c7,0.23358622294028492,0.0,1,46
S2,0,DE-RK,0.5507594062980261,1.366686143276679,4.415281133692959,0.13594630467081711,0.44,0.56,0.5329746133224361,0.9999124398975556,8.756010244437284e-05,1.0234737592586423,0.8985274449504512,0.33660535824818266,0.21967080582476192,0.33605365597427006,0.4,0.3067139000049792,320,1,1.1884698623401801,0.8470772834362792,8.756010244437284e-05,0.4453678116784716,0.10147255504954877,controlled,320,random,0.8,910020000,1010020000,1110020000,1210020000,c931a14b8107afa5c5ae8f9995f679974322d3470a74a08282004685293de8d4,0.608728015479499,9.522908048812342,-1,-1
S2,0,LSHADE-lite,0.46603513481311887,1.1593521499558377,4.262651978925204,0.10779165747527882,0.58,0.42,0.3950112226333772,0.9981670593157055,0.001832940684294535,1.0285351870626154,0.9219668690078584,0.32803855851540975,0.21967080582476192,0.29092554660664555,0.56,0.3493878999943263,320,1,1.0249517803202128,0.7476855007529453,0.001832940684294535,0.34229122733777495,0.0780331309921416,controlled,320,random,0.8,910020000,1010020000,1110020000,1210020000,c931a14b8107afa5c5ae8f9995f679974322d3470a74a08282004685293de8d4,0.608728015479499,23.44115549766179,-1,-1
S2,0,Plain-ABC,0.5612882776924197,1.1934467960337285,4.262651978925204,0.1359054311540871,0.5,0.5,0.47048149464749955,0.998701777254303,0.0012982227456970375,1.0382338598992802,0.9059677981980355,0.32857116523619834,0.2911635288694779,0.32216764466740544,0.46,0.307666299995617,320,1,1.17648466821497,1.0116404812299589,0.0012982227456970375,0.40422625453899735,0.09403220180196448,controlled,320,random,0.8,910020000,1010020000,1110020000,1210020000,c931a14b8107afa5c5ae8f9995f679974322d3470a74a08282004685293de8d4,0.608728015479499,7.793256853754404,0,85
